,coin_code,exchange_code,name,name_zh,pair1,pair2,price,vol,volume,accounting,update_time,logo,price_usd,symbol_pair,exchange_url,is_focus,type,exclude,ads,adpairs,exrank,url,tickerid,open_interest,open_interest_ratio,showkline,changerate
0,monero,binance,Binance,币安网,XMR,USDT,259.48,163365.5343,42390088.84,2.94,刚刚,https://s2.feixiaoquan.com/logo/2/binance.png?x-oss-process=style/coin_36_webp,259.48,xmr_usdt,,0,0,0,[],[],9,,binance_xmr_usdt,0.0,0.0,1.0,5.93
1,monero,okex,OKEX,欧易OKEx,XMR,USDT,260.08,107525.4976,27965231.42,1.93,刚刚,https://s2.feixiaoquan.com/logo/2/okex.png?x-oss-process=style/coin_36_webp,260.08,xmr_usdt,,0,0,0,[],[],9,,okex_xmr_usdt,0.0,0.0,0.0,5.96
2,monero,huobipro,Huobi,火币全球站,XMR,USDT,259.59,55833.8443,14493907.64,1.01,刚刚,https://s2.feixiaoquan.com/logo/2/huobipro.png?x-oss-process=style/coin_36_webp,259.59,xmr_usdt,,0,0,0,[],[],9,https://www.huobi.vn/zh-cn/exchange/?s=xmr_usdt&invite_code=ejp25,huobipro_xmr_usdt,0.0,0.0,0.0,0.74
3,monero,binance,Binance,币安网,XMR,BTC,0.006625,43812.731,11381765.46,0.79,刚刚,https://s2.feixiaoquan.com/logo/2/binance.png?x-oss-process=style/coin_36_webp,259.78,xmr_btc,,0,0,0,[],[],9,,binance_xmr_btc,0.0,0.0,0.0,2.65
4,monero,okex,OKEX,欧易OKEx,XMR,BTC,0.006634,40651.5953,10583265.41,0.73,刚刚,https://s2.feixiaoquan.com/logo/2/okex.png?x-oss-process=style/coin_36_webp,260.34,xmr_btc,,0,0,0,[],[],9,,okex_xmr_btc,0.0,0.0,0.0,2.69
5,monero,binance,Binance,币安网,XMR,ETH,0.09376,10354.859,2699692.89,0.19,刚刚,https://s2.feixiaoquan.com/logo/2/binance.png?x-oss-process=style/coin_36_webp,260.72,xmr_eth,,0,0,0,[],[],9,,binance_xmr_eth,0.0,0.0,0.0,-0.93
6,monero,binance,Binance,币安网,XMR,BUSD,260.39,8247.3308,2147522.47,0.15,刚刚,https://s2.feixiaoquan.com/logo/2/binance.png?x-oss-process=style/coin_36_webp,260.39,xmr_busd,,0,0,0,[],[],9,,binance_xmr_busd,0.0,0.0,0.0,6.17
7,monero,bitfinex,Bitfinex,,XMR,USD,260.49,5084.724,1324519.75,0.09,刚刚,https://s2.feixiaoquan.com/logo/2/bitfinex.png?x-oss-process=style/coin_36_webp,260.49,xmr_usd,https://www.bitfinex.com,0,0,0,[],[],9,,bitfinex_xmr_usd,0.0,0.0,0.0,5.88
8,monero,binance,Binance,币安网,XMR,BNB,0.697,3051.155,792668.13,0.05,刚刚,https://s2.feixiaoquan.com/logo/2/binance.png?x-oss-process=style/coin_36_webp,259.79,xmr_bnb,,0,0,0,[],[],9,,binance_xmr_bnb,0.0,0.0,0.0,-4.91
9,monero,huobipro,Huobi,火币全球站,XMR,BTC,0.006627,2693.4234,700468.95,0.05,刚刚,https://s2.feixiaoquan.com/logo/2/huobipro.png?x-oss-process=style/coin_36_webp,260.07,xmr_btc,,0,0,0,[],[],9,https://www.huobi.vn/zh-cn/exchange/?s=xmr_btc&invite_code=ejp25,huobipro_xmr_btc,0.0,0.0,0.0,-0.33
